Metropolitan Area,Rank,1-Quarter,1-Year,5-Years,Since 1991Q1,,,
"Boise City, ID",1,4.9,13.83,78.91,350.41,,,
"Coeur d'Alene, ID",2,4.8,12.98,70.51,361.69,,,
"Idaho Falls, ID",3,4.07,12.86,66.53,228.63,,,
"Tacoma-Lakewood, WA (MSAD)",4,2.99,10.83,61.73,300.57,,,
"Spokane-Spokane Valley, WA",5,2.73,10.65,60.38,295.02,,,
"Lake Havasu City-Kingman, AZ",6,4.15,10.5,50.31,177.83,,,
"Phoenix-Mesa-Chandler, AZ",7,3.44,10.26,47.39,283.82,,,
"Lakeland-Winter Haven, FL",8,4.29,10.11,53.44,194.73,,,
"Huntsville, AL",9,3.6,9.98,30.56,124.28,,,
"Ogden-Clearfield, UT",10,3.71,9.71,53.69,322.02,,,
"Pueblo, CO",11,3.18,9.69,50.1,251.8,,,
"Missoula, MT",12,4.46,9.43,39.76,405.23,,,
"Logan, UT-ID",13,4.03,9.34,48.22,300.42,,,
"Mount Vernon-Anacortes, WA",14,2.7,9.09,54.08,276.16,,,
"Salt Lake City, UT",15,3.24,9.07,50.25,408.84,,,
"Olympia-Lacey-Tumwater, WA",16,2.27,9.07,52.02,275.46,,,
"Manchester-Nashua, NH",17,3.48,9.02,33.95,167.53,,,
"Pensacola-Ferry Pass-Brent, FL",18,3.52,8.96,46.15,213.16,,,
"Colorado Springs, CO",19,3.08,8.89,51.3,301.84,,,
"Portland-South Portland, ME",20,3.86,8.73,34.48,194.87,,,
"Longview, WA",21,3,8.72,58.67,293.9,,,
"Elkhart-Goshen, IN",22,2.72,8.68,35.18,143.68,,,
"Provo-Orem, UT",23,3.08,8.61,46.91,339.23,,,
"St. George, UT",24,3.15,8.57,43.94,249.67,,,
"Muskegon, MI",25,2.45,8.48,47.48,166.6,,,
"Modesto, CA",26,2.99,8.44,41.97,156.29,,,
"Yakima, WA",27,1.76,8.42,47,264.69,,,
"Madera, CA",28,4.01,8.32,40.81,172.81,,,
"Tucson, AZ",29,2.33,8.3,39.73,202.45,,,
"Austin-Round Rock-Georgetown, TX",30,3.27,8.26,41.08,401.86,,,
"Kennewick-Richland, WA",31,2.49,8.2,53.03,241.38,,,
"Knoxville, TN",32,2.98,8.18,35.07,183.74,,,
"Tampa-St. Petersburg-Clearwater, FL",33,2.36,8.17,52.43,254.29,,,
"Rochester, NY",34,2.13,8.09,26.73,88.04,,,
"Springfield, MA",35,3.45,7.99,25.81,111.99,,,
"Syracuse, NY",36,2.6,7.96,25.97,93.12,,,
"Buffalo-Cheektowaga, NY",37,2.89,7.94,35.64,135.66,,,
"Bend, OR",38,4.13,7.93,49,388.94,,,
"Flagstaff, AZ",39,3.73,7.92,37.47,293.91,,,
"Gulfport-Biloxi, MS",40,2.89,7.91,26.3,170.86,,,
"Eugene-Springfield, OR",41,2.5,7.89,46.69,309.1,,,
"Albuquerque, NM",42,2.2,7.86,27.05,163.46,,,
"Palm Bay-Melbourne-Titusville, FL",43,2.55,7.8,52.4,204.05,,,
"Scranton--Wilkes-Barre, PA",44,2.98,7.79,19.48,110.71,,,
"Albany-Lebanon, OR",45,2.41,7.77,59.1,393.05,,,
"Indianapolis-Carmel-Anderson, IN",46,2.17,7.74,36.43,135.15,,,
"Bremerton-Silverdale-Port Orchard, WA",47,1.98,7.73,50.63,282.57,,,
