DATE,GASREGW
2019-08-05,2.688
2019-08-12,2.624
2019-08-19,2.598
2019-08-26,2.574
2019-09-02,2.563
2019-09-09,2.55
2019-09-16,2.552
2019-09-23,2.654
2019-09-30,2.642
2019-10-07,2.645
2019-10-14,2.629
2019-10-21,2.638
2019-10-28,2.596
2019-11-04,2.605
2019-11-11,2.615
2019-11-18,2.592
2019-11-25,2.579
2019-12-02,2.575
2019-12-09,2.561
2019-12-16,2.536
2019-12-23,2.532
2019-12-30,2.571
2020-01-06,2.578
2020-01-13,2.57
2020-01-20,2.537
2020-01-27,2.506
2020-02-03,2.455
2020-02-10,2.419
2020-02-17,2.428
2020-02-24,2.466
2020-03-02,2.423
2020-03-09,2.375
2020-03-16,2.248
2020-03-23,2.12
2020-03-30,2.005
2020-04-06,1.924
2020-04-13,1.853
2020-04-20,1.812
2020-04-27,1.773
2020-05-04,1.789
2020-05-11,1.851
2020-05-18,1.878
2020-05-25,1.96
2020-06-01,1.974
2020-06-08,2.036
2020-06-15,2.098
2020-06-22,2.129
2020-06-29,2.174
2020-07-06,2.177
2020-07-13,2.195
2020-07-20,2.186
2020-07-27,2.175
2020-08-03,2.176
2020-08-10,2.166
2020-08-17,2.166
2020-08-24,2.182
2020-08-31,2.222
2020-09-07,2.211
2020-09-14,2.183
2020-09-21,2.168
2020-09-28,2.169
2020-10-05,2.172
2020-10-12,2.167
2020-10-19,2.15
2020-10-26,2.143
2020-11-02,2.112
2020-11-09,2.096
2020-11-16,2.111
2020-11-23,2.102
2020-11-30,2.12
2020-12-07,2.156
2020-12-14,2.158
2020-12-21,2.224
2020-12-28,2.243
2021-01-04,2.249
2021-01-11,2.317
2021-01-18,2.379
2021-01-25,2.392
2021-02-01,2.409
2021-02-08,2.461
2021-02-15,2.501
2021-02-22,2.633
2021-03-01,2.711
2021-03-08,2.771
2021-03-15,2.853
2021-03-22,2.865
2021-03-29,2.852
2021-04-05,2.857
2021-04-12,2.849
2021-04-19,2.855
